GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Javdin,com.javdin.interpreter,Interpreter,66,75,5,4,25,21,24,7,19,6
Javdin,com.javdin.interpreter,Value.ValueType,0,51,0,0,0,2,0,1,0,1
Javdin,com.javdin.interpreter,Value,195,26,45,3,36,7,36,4,7,3
Javdin,com.javdin.interpreter,Environment,101,24,14,0,21,6,12,2,5,2
Javdin,com.javdin.utils,ErrorHandler.Error,53,0,4,0,11,0,7,0,5,0
Javdin,com.javdin.utils,ErrorHandler,39,14,3,1,9,4,6,2,4,2
Javdin,com.javdin.utils,IoUtils,35,8,0,0,11,2,6,1,6,1
Javdin,com.javdin.parser.generated,Symbols,0,248,0,0,0,1,0,1,0,1
Javdin,com.javdin.parser.generated,CupParser.CUP.CupParser.actions,2495,1958,49,41,377,322,49,43,0,3
Javdin,com.javdin.parser.generated,CupParser,10,59,0,0,3,17,3,11,3,11
Javdin,com.javdin.parser,Parser,1,40,1,1,0,10,1,2,0,2
Javdin,com.javdin.parser,LexerAdapter,119,125,41,28,50,38,41,30,0,4
Javdin,com.javdin.parser,ParseException,16,33,0,0,6,5,3,2,3,2
Javdin,com.javdin.lexer,InteractiveLexerDemo,3,0,0,0,1,0,1,0,1,0
Javdin,com.javdin.lexer,LexerDebug,390,0,54,0,112,0,56,0,7,0
Javdin,com.javdin.lexer,TokenType,0,423,0,0,0,71,0,1,0,1
Javdin,com.javdin.lexer,Lexer,23,981,16,134,6,210,16,82,0,12
Javdin,com.javdin.lexer,LexicalException,28,10,0,0,3,4,3,1,3,1
Javdin,com.javdin.lexer,Token,53,22,2,0,3,3,2,2,1,2
Javdin,com.javdin.ast,BinaryOpNode,7,20,0,0,2,7,2,3,2,3
Javdin,com.javdin.ast,AssignmentNode,21,0,0,0,7,0,4,0,4,0
Javdin,com.javdin.ast,FunctionCallNode,21,0,0,0,7,0,4,0,4,0
Javdin,com.javdin.ast,ReturnNode,15,0,0,0,5,0,3,0,3,0
Javdin,com.javdin.ast,UnaryOpNode,21,0,0,0,7,0,4,0,4,0
Javdin,com.javdin.ast,ArrayAccessNode,21,0,0,0,7,0,4,0,4,0
Javdin,com.javdin.ast,ForNode,33,0,0,0,11,0,6,0,6,0
Javdin,com.javdin.ast,ArrayLiteralNode,5,14,1,1,1,4,2,2,1,2
Javdin,com.javdin.ast,DeclarationNode,24,34,2,2,5,8,3,5,1,5
Javdin,com.javdin.ast,ReferenceNode,7,8,0,0,2,3,2,1,2,1
Javdin,com.javdin.ast,WhileNode,21,0,0,0,7,0,4,0,4,0
Javdin,com.javdin.ast,ExpressionStatementNode,15,0,0,0,5,0,3,0,3,0
Javdin,com.javdin.ast,TupleMemberAccessNode,42,0,0,0,14,0,6,0,6,0
Javdin,com.javdin.ast,BreakNode,9,0,0,0,3,0,2,0,2,0
Javdin,com.javdin.ast,ExpressionNode,6,9,0,0,2,4,2,1,2,1
Javdin,com.javdin.ast,LiteralNode.LiteralType,0,33,0,0,0,2,0,1,0,1
Javdin,com.javdin.ast,FunctionLiteralNode,17,48,2,2,4,16,4,6,2,6
Javdin,com.javdin.ast,BlockNode,15,0,0,0,5,0,3,0,3,0
Javdin,com.javdin.ast,StatementNode,6,9,0,0,2,4,2,1,2,1
Javdin,com.javdin.ast,TupleLiteralNode.TupleElement,22,0,2,0,7,0,5,0,4,0
Javdin,com.javdin.ast,TypeCheckNode,21,0,0,0,7,0,4,0,4,0
Javdin,com.javdin.ast,PrintNode,33,20,4,2,8,6,5,3,2,3
Javdin,com.javdin.ast,TupleLiteralNode,19,0,2,0,5,0,4,0,3,0
Javdin,com.javdin.ast,IfNode,27,0,0,0,9,0,5,0,5,0
Javdin,com.javdin.ast,ContinueNode,9,0,0,0,3,0,2,0,2,0
Javdin,com.javdin.ast,DeclarationNode.VariableDefinition,0,15,0,0,0,6,0,3,0,3
Javdin,com.javdin.ast,LiteralNode,0,21,0,0,0,7,0,4,0,4
Javdin,com.javdin.ast,ProgramNode,6,19,0,0,2,7,2,3,2,3
Javdin,com.javdin.debug,ParserDebug,63,0,6,0,15,0,5,0,2,0
Javdin,com.javdin.main,Main,17,75,2,4,8,23,4,2,2,1
Javdin,com.javdin.semantics,SymbolTable,48,50,12,4,10,12,10,5,2,5
Javdin,com.javdin.semantics,SemanticAnalyzer,50,66,2,4,22,19,21,7,19,6
Javdin,com.javdin.semantics,Scope,12,20,0,0,2,6,2,3,2,3
